grievance_id,category,description,ward_id,assigned_dept,status,created_date,resolved_date
GR00001,Electricity,Streetlight not working in Rajendra Nagar (Ward W10).,W10,Electricity Dept,Pending,45886,
GR00002,School,Midday meal issue in Malviya Nagar (Ward W15).,W15,Education Dept,Pending,45892,
GR00003,Road,Speed breaker needed in Azad Market (Ward W05).,W05,PWD,Closed,45807,45843
GR00004,Electricity,Frequent power cuts in Tagore Garden (Ward W08).,W08,Electricity Dept,Open,45747,
GR00005,Sanitation,Garbage not collected in Lajpat Enclave (Ward W04).,W04,Solid Waste,Open,45972,
GR00006,Police,Harassment complaint in Azad Market (Ward W05).,W05,Police Dept,Closed,45767,45775
GR00007,School,Teacher shortage in Vivek Vihar (Ward W07).,W07,Education Dept,Pending,45989,
GR00008,School,Toilet maintenance in Ambedkar Nagar (Ward W12).,W12,Education Dept,Closed,45691,45724
GR00009,Water,No water supply in Subhash Nagar (Ward W13).,W13,Municipal Corp,Closed,45707,45737
GR00010,Road,Road flooding in Tilak Nagar (Ward W16).,W16,PWD,Pending,45995,
GR00011,Road,Road flooding in Anand Vihar (Ward W24).,W24,Municipal Corp,Closed,45893,45924
GR00012,Sanitation,Open burning of waste in Anand Vihar (Ward W24).,W24,Municipal Corp,Pending,45773,
GR00013,Hospital,Long waiting time in Azad Market (Ward W05).,W05,Health Dept,Pending,45675,
GR00014,Electricity,Streetlight not working in Saraswati Park (Ward W06).,W06,Electricity Dept,Pending,45997,
GR00015,School,Teacher shortage in Subhash Nagar (Ward W13).,W13,Education Dept,Closed,45834,45839
GR00016,Hospital,Long waiting time in Nehru Vihar (Ward W03).,W03,Health Dept,Open,45793,
GR00017,Sanitation,Open burning of waste in Jai Hind Puram (Ward W17).,W17,Municipal Corp,Pending,45783,
GR00018,Electricity,Frequent power cuts in Vivek Vihar (Ward W07).,W07,Electricity Dept,Pending,45807,
GR00019,Electricity,Transformer noise in Mayur Vihar (Ward W25).,W25,Electricity Dept,Open,45819,
GR00020,Road,Potholes in Shastri Nagar (Ward W01).,W01,Municipal Corp,Open,45845,
GR00021,Hospital,Medicine shortage in Lajpat Enclave (Ward W04).,W04,Health Dept,Closed,45758,45772
GR00022,Electricity,Transformer noise in Shastri Nagar (Ward W01).,W01,Electricity Dept,Closed,45834,45867
GR00023,Sanitation,Overflowing bins in Tagore Garden (Ward W08).,W08,Municipal Corp,Pending,45890,
GR00024,Electricity,Loose wire hazard in Green Park (Ward W19).,W19,Electricity Dept,Closed,45978,46023
GR00025,Electricity,Streetlight not working in Anand Vihar (Ward W24).,W24,Electricity Dept,Pending,45896,
GR00026,Water,Low pressure in Lajpat Enclave (Ward W04).,W04,Municipal Corp,Pending,45692,
GR00027,School,Toilet maintenance in Subhash Nagar (Ward W13).,W13,Education Dept,Open,45964,
GR00028,Hospital,Cleanliness issue in Tagore Garden (Ward W08).,W08,Health Dept,Pending,45988,
GR00029,Road,Speed breaker needed in Seemapuri (Ward W23).,W23,Municipal Corp,Pending,45917,
GR00030,Police,Traffic issue in Nehru Vihar (Ward W03).,W03,Police Dept,Pending,45915,
GR00031,Water,Contaminated water in Patel Nagar (Ward W14).,W14,Municipal Corp,Pending,45962,
GR00032,School,Classroom repair needed in Jai Hind Puram (Ward W17).,W17,Education Dept,Pending,45712,
GR00033,Sanitation,Overflowing bins in Rajendra Nagar (Ward W10).,W10,Solid Waste,Open,45867,
GR00034,Market,Encroachment in Lajpat Enclave (Ward W04).,W04,Municipal Corp,Open,45898,
GR00035,Police,Traffic issue in Ashok Nagar (Ward W09).,W09,Police Dept,Closed,45754,45766
GR00036,Police,Suspicious activity in Subhash Nagar (Ward W13).,W13,Police Dept,Pending,45872,
GR00037,Sanitation,Garbage not collected in Anand Vihar (Ward W24).,W24,Municipal Corp,Pending,45974,
GR00038,Hospital,Long waiting time in Shastri Nagar (Ward W01).,W01,Health Dept,Closed,45907,45941
GR00039,Road,Road flooding in Malviya Nagar (Ward W15).,W15,Municipal Corp,Closed,45713,45729
GR00040,Road,Broken pavement in Indira Chowk (Ward W11).,W11,Municipal Corp,Open,46014,
GR00041,Sanitation,Drain cleaning needed in Jai Hind Puram (Ward W17).,W17,Solid Waste,Closed,46010,46038
GR00042,Road,Potholes in Model Town (Ward W20).,W20,Municipal Corp,Pending,45929,
GR00043,Market,Drain blockage in Tilak Nagar (Ward W16).,W16,PWD,Closed,46016,46033
GR00044,Electricity,Streetlight not working in Azad Market (Ward W05).,W05,Electricity Dept,Pending,45853,
GR00045,Water,Leakage reported in Rajendra Nagar (Ward W10).,W10,Municipal Corp,Pending,45837,
GR00046,Road,Potholes in Nehru Vihar (Ward W03).,W03,PWD,Closed,45914,45956
GR00047,Electricity,Frequent power cuts in Seemapuri (Ward W23).,W23,Electricity Dept,Open,45989,
GR00048,Market,Drain blockage in Ashok Nagar (Ward W09).,W09,Municipal Corp,Open,45894,
GR00049,Police,Traffic issue in Seemapuri (Ward W23).,W23,Police Dept,Closed,45676,45713
GR00050,Water,Leakage reported in Gandhi Colony (Ward W02).,W02,Municipal Corp,Pending,45933,
GR00051,Sanitation,Garbage not collected in Model Town (Ward W20).,W20,Municipal Corp,Closed,45744,45751
GR00052,School,Toilet maintenance in Ashok Nagar (Ward W09).,W09,Education Dept,Closed,45664,45682
GR00053,Police,Harassment complaint in Model Town (Ward W20).,W20,Police Dept,Pending,45753,
GR00054,Police,Traffic issue in Ambedkar Nagar (Ward W12).,W12,Police Dept,Pending,45778,
GR00055,Sanitation,Garbage not collected in Civil Lines (Ward W21).,W21,Municipal Corp,Pending,45722,
GR00056,Water,No water supply in Anand Vihar (Ward W24).,W24,Water Department,Closed,46016,46061
GR00057,Hospital,Medicine shortage in Subhash Nagar (Ward W13).,W13,Health Dept,Open,45712,
GR00058,Water,Low pressure in Anand Vihar (Ward W24).,W24,Municipal Corp,Open,45972,
GR00059,Road,Road flooding in Mayur Vihar (Ward W25).,W25,Municipal Corp,Closed,45692,45723
GR00060,Water,Contaminated water in Indira Chowk (Ward W11).,W11,Municipal Corp,Pending,45705,
GR00061,Water,Low pressure in Jai Hind Puram (Ward W17).,W17,Water Department,Closed,45941,45980
GR00062,School,Classroom repair needed in Jai Hind Puram (Ward W17).,W17,Education Dept,Open,45738,
GR00063,Hospital,Ambulance not available in Ashok Nagar (Ward W09).,W09,Health Dept,Pending,45890,
GR00064,School,Teacher shortage in Lajpat Enclave (Ward W04).,W04,Education Dept,Open,45670,
GR00065,School,Toilet maintenance in Jai Hind Puram (Ward W17).,W17,Education Dept,Pending,45888,
GR00066,Sanitation,Garbage not collected in Seemapuri (Ward W23).,W23,Municipal Corp,Pending,45943,
GR00067,School,Midday meal issue in Lajpat Enclave (Ward W04).,W04,Education Dept,Open,46021,
GR00068,Market,Vendor zone confusion in Green Park (Ward W19).,W19,Municipal Corp,Pending,45954,
GR00069,Sanitation,Drain cleaning needed in Lajpat Enclave (Ward W04).,W04,Municipal Corp,Pending,45962,
GR00070,Electricity,Frequent power cuts in Shastri Nagar (Ward W01).,W01,Electricity Dept,Pending,45724,
GR00071,Sanitation,Overflowing bins in Rajendra Nagar (Ward W10).,W10,Municipal Corp,Open,45723,
GR00072,Hospital,Long waiting time in Rajendra Nagar (Ward W10).,W10,Health Dept,Pending,45842,
GR00073,Electricity,Transformer noise in Green Park (Ward W19).,W19,Electricity Dept,Closed,45743,45766
GR00074,Hospital,Long waiting time in Civil Lines (Ward W21).,W21,Health Dept,Pending,45883,
GR00075,Police,Traffic issue in Patel Nagar (Ward W14).,W14,Police Dept,Closed,45967,45971
GR00076,Market,Drain blockage in Vivek Vihar (Ward W07).,W07,PWD,Pending,45707,
GR00077,Market,Waste near market in Patel Nagar (Ward W14).,W14,PWD,Pending,45901,
GR00078,Electricity,Transformer noise in Ambedkar Nagar (Ward W12).,W12,Electricity Dept,Pending,45745,
GR00079,Water,Leakage reported in Azad Market (Ward W05).,W05,Municipal Corp,Pending,45744,
GR00080,Police,Need patrolling in Kalyanpuri (Ward W22).,W22,Police Dept,Pending,45807,
GR00081,Electricity,Streetlight not working in Civil Lines (Ward W21).,W21,Electricity Dept,Closed,45831,45874
GR00082,School,Midday meal issue in Nehru Vihar (Ward W03).,W03,Education Dept,Closed,45849,45886
GR00083,Road,Speed breaker needed in Tilak Nagar (Ward W16).,W16,Municipal Corp,Pending,45685,
GR00084,Electricity,Frequent power cuts in Model Town (Ward W20).,W20,Electricity Dept,Pending,45789,
GR00085,Hospital,Cleanliness issue in Kalyanpuri (Ward W22).,W22,Health Dept,Open,45735,
GR00086,Electricity,Frequent power cuts in Gandhi Colony (Ward W02).,W02,Electricity Dept,Pending,45931,
GR00087,Hospital,Ambulance not available in Saraswati Park (Ward W06).,W06,Health Dept,Pending,45718,
GR00088,Electricity,Loose wire hazard in Vivek Vihar (Ward W07).,W07,Electricity Dept,Closed,45664,45698
GR00089,Police,Suspicious activity in Tagore Garden (Ward W08).,W08,Police Dept,Closed,45912,45947
GR00090,Road,Broken pavement in Indira Chowk (Ward W11).,W11,PWD,Closed,45757,45771
GR00091,Road,Speed breaker needed in Mayur Vihar (Ward W25).,W25,PWD,Closed,45924,45945
GR00092,School,Teacher shortage in Sadar Bazaar (Ward W18).,W18,Education Dept,Pending,45822,
GR00093,Hospital,Long waiting time in Shastri Nagar (Ward W01).,W01,Health Dept,Pending,45978,
GR00094,Hospital,Long waiting time in Shastri Nagar (Ward W01).,W01,Health Dept,Pending,45713,
GR00095,Sanitation,Drain cleaning needed in Ashok Nagar (Ward W09).,W09,Municipal Corp,Closed,45901,45920
GR00096,Road,Potholes in Tilak Nagar (Ward W16).,W16,PWD,Pending,45775,
GR00097,Hospital,Cleanliness issue in Tagore Garden (Ward W08).,W08,Health Dept,Pending,45662,
GR00098,Road,Road flooding in Civil Lines (Ward W21).,W21,PWD,Open,45961,
GR00099,School,Teacher shortage in Green Park (Ward W19).,W19,Education Dept,Closed,45829,45864
GR00100,School,Toilet maintenance in Tagore Garden (Ward W08).,W08,Education Dept,Pending,45770,
GR00101,Road,Road flooding in Saraswati Park (Ward W06).,W06,PWD,Closed,45742,45746
GR00102,School,Toilet maintenance in Green Park (Ward W19).,W19,Education Dept,Pending,45725,
GR00103,Hospital,Ambulance not available in Rajendra Nagar (Ward W10).,W10,Health Dept,Closed,45982,46006
GR00104,Water,Leakage reported in Indira Chowk (Ward W11).,W11,Municipal Corp,Pending,45872,
GR00105,Hospital,Long waiting time in Gandhi Colony (Ward W02).,W02,Health Dept,Pending,45990,
GR00106,Water,No water supply in Kalyanpuri (Ward W22).,W22,Water Department,Closed,45821,45860
GR00107,Road,Road flooding in Ambedkar Nagar (Ward W12).,W12,Municipal Corp,Pending,46010,
GR00108,Police,Need patrolling in Kalyanpuri (Ward W22).,W22,Police Dept,Open,45926,
GR00109,School,Teacher shortage in Seemapuri (Ward W23).,W23,Education Dept,Open,45685,
GR00110,School,Classroom repair needed in Seemapuri (Ward W23).,W23,Education Dept,Pending,45961,
GR00111,Sanitation,Drain cleaning needed in Kalyanpuri (Ward W22).,W22,Municipal Corp,Closed,45736,45759
GR00112,Water,Contaminated water in Kalyanpuri (Ward W22).,W22,Municipal Corp,Pending,46008,
GR00113,Police,Need patrolling in Tagore Garden (Ward W08).,W08,Police Dept,Closed,45698,45699
GR00114,School,Teacher shortage in Patel Nagar (Ward W14).,W14,Education Dept,Pending,45877,
GR00115,Road,Road flooding in Ambedkar Nagar (Ward W12).,W12,Municipal Corp,Open,45659,
GR00116,School,Toilet maintenance in Jai Hind Puram (Ward W17).,W17,Education Dept,Pending,45806,
GR00117,Market,Waste near market in Tilak Nagar (Ward W16).,W16,PWD,Closed,46013,46050
GR00118,Electricity,Streetlight not working in Civil Lines (Ward W21).,W21,Electricity Dept,Closed,45793,45831
GR00119,School,Classroom repair needed in Rajendra Nagar (Ward W10).,W10,Education Dept,Open,45965,
GR00120,Market,Drain blockage in Malviya Nagar (Ward W15).,W15,PWD,Closed,45716,45734
GR00121,Hospital,Medicine shortage in Ashok Nagar (Ward W09).,W09,Health Dept,Closed,45843,45854
GR00122,Water,No water supply in Saraswati Park (Ward W06).,W06,Water Department,Closed,45990,46019
GR00123,Sanitation,Overflowing bins in Malviya Nagar (Ward W15).,W15,Municipal Corp,Open,45670,
GR00124,Police,Harassment complaint in Lajpat Enclave (Ward W04).,W04,Police Dept,Pending,45768,
GR00125,Road,Speed breaker needed in Sadar Bazaar (Ward W18).,W18,PWD,Open,45739,
GR00126,Water,Low pressure in Patel Nagar (Ward W14).,W14,Water Department,Pending,45789,
GR00127,Water,Low pressure in Ashok Nagar (Ward W09).,W09,Municipal Corp,Closed,45935,45957
GR00128,Water,No water supply in Vivek Vihar (Ward W07).,W07,Water Department,Pending,45906,
GR00129,Electricity,Loose wire hazard in Vivek Vihar (Ward W07).,W07,Electricity Dept,Pending,45753,
GR00130,Hospital,Long waiting time in Subhash Nagar (Ward W13).,W13,Health Dept,Closed,45861,45893
GR00131,Market,Drain blockage in Sadar Bazaar (Ward W18).,W18,Municipal Corp,Pending,46006,
GR00132,Hospital,Long waiting time in Ashok Nagar (Ward W09).,W09,Health Dept,Closed,45738,45760
GR00133,Electricity,Loose wire hazard in Tilak Nagar (Ward W16).,W16,Electricity Dept,Open,45794,
GR00134,Water,Leakage reported in Nehru Vihar (Ward W03).,W03,Water Department,Closed,45712,45735
GR00135,Electricity,Loose wire hazard in Patel Nagar (Ward W14).,W14,Electricity Dept,Pending,45680,
GR00136,Road,Potholes in Jai Hind Puram (Ward W17).,W17,PWD,Pending,45966,
GR00137,Electricity,Streetlight not working in Lajpat Enclave (Ward W04).,W04,Electricity Dept,Closed,45775,45813
GR00138,Sanitation,Open burning of waste in Civil Lines (Ward W21).,W21,Municipal Corp,Closed,45861,45867
GR00139,Sanitation,Overflowing bins in Malviya Nagar (Ward W15).,W15,Solid Waste,Closed,45922,45934
GR00140,Market,Waste near market in Tilak Nagar (Ward W16).,W16,PWD,Closed,46007,46040
GR00141,Sanitation,Open burning of waste in Model Town (Ward W20).,W20,Municipal Corp,Pending,45663,
GR00142,Water,No water supply in Model Town (Ward W20).,W20,Municipal Corp,Pending,45921,
GR00143,Police,Need patrolling in Subhash Nagar (Ward W13).,W13,Police Dept,Pending,45961,
GR00144,Electricity,Streetlight not working in Saraswati Park (Ward W06).,W06,Electricity Dept,Closed,45772,45804
GR00145,Hospital,Long waiting time in Shastri Nagar (Ward W01).,W01,Health Dept,Pending,45742,
GR00146,Water,Leakage reported in Seemapuri (Ward W23).,W23,Municipal Corp,Closed,46008,46045
GR00147,Road,Potholes in Anand Vihar (Ward W24).,W24,Municipal Corp,Open,45998,
GR00148,School,Midday meal issue in Seemapuri (Ward W23).,W23,Education Dept,Open,45855,
GR00149,Hospital,Long waiting time in Ambedkar Nagar (Ward W12).,W12,Health Dept,Closed,45928,45942
GR00150,Water,Contaminated water in Sadar Bazaar (Ward W18).,W18,Municipal Corp,Pending,45997,
GR00151,School,Teacher shortage in Tagore Garden (Ward W08).,W08,Education Dept,Open,45732,
GR00152,School,Classroom repair needed in Lajpat Enclave (Ward W04).,W04,Education Dept,Pending,45866,
GR00153,Electricity,Transformer noise in Tilak Nagar (Ward W16).,W16,Electricity Dept,Closed,46010,46031
GR00154,Road,Broken pavement in Seemapuri (Ward W23).,W23,Municipal Corp,Open,45965,
GR00155,Electricity,Frequent power cuts in Shastri Nagar (Ward W01).,W01,Electricity Dept,Open,45939,
GR00156,Hospital,Long waiting time in Seemapuri (Ward W23).,W23,Health Dept,Closed,45932,45972
GR00157,Market,Drain blockage in Rajendra Nagar (Ward W10).,W10,PWD,Pending,45749,
GR00158,Police,Harassment complaint in Gandhi Colony (Ward W02).,W02,Police Dept,Pending,45685,
GR00159,Electricity,Loose wire hazard in Lajpat Enclave (Ward W04).,W04,Electricity Dept,Pending,45830,
GR00160,Road,Speed breaker needed in Mayur Vihar (Ward W25).,W25,Municipal Corp,Closed,45990,45991
GR00161,Road,Broken pavement in Seemapuri (Ward W23).,W23,Municipal Corp,Open,45856,
GR00162,Police,Suspicious activity in Green Park (Ward W19).,W19,Police Dept,Closed,45908,45917
GR00163,Hospital,Ambulance not available in Subhash Nagar (Ward W13).,W13,Health Dept,Closed,45747,45756
GR00164,Hospital,Long waiting time in Ambedkar Nagar (Ward W12).,W12,Health Dept,Open,46018,
GR00165,Market,Encroachment in Seemapuri (Ward W23).,W23,Municipal Corp,Closed,45678,45712
GR00166,Market,Drain blockage in Gandhi Colony (Ward W02).,W02,PWD,Closed,45970,45998
GR00167,Electricity,Streetlight not working in Shastri Nagar (Ward W01).,W01,Electricity Dept,Closed,45932,45964
GR00168,Market,Drain blockage in Vivek Vihar (Ward W07).,W07,PWD,Pending,45823,
GR00169,School,Midday meal issue in Tilak Nagar (Ward W16).,W16,Education Dept,Pending,45757,
GR00170,Electricity,Loose wire hazard in Kalyanpuri (Ward W22).,W22,Electricity Dept,Open,45729,
GR00171,Water,No water supply in Ashok Nagar (Ward W09).,W09,Municipal Corp,Pending,45683,
GR00172,Hospital,Cleanliness issue in Gandhi Colony (Ward W02).,W02,Health Dept,Open,45993,
GR00173,Police,Traffic issue in Tagore Garden (Ward W08).,W08,Police Dept,Closed,45663,45668
GR00174,Hospital,Cleanliness issue in Civil Lines (Ward W21).,W21,Health Dept,Pending,45933,
GR00175,Hospital,Cleanliness issue in Lajpat Enclave (Ward W04).,W04,Health Dept,Open,45894,
GR00176,Water,Contaminated water in Civil Lines (Ward W21).,W21,Water Department,Closed,45881,45919
GR00177,Electricity,Streetlight not working in Shastri Nagar (Ward W01).,W01,Electricity Dept,Pending,45858,
GR00178,Water,No water supply in Green Park (Ward W19).,W19,Water Department,Open,45793,
GR00179,Police,Harassment complaint in Jai Hind Puram (Ward W17).,W17,Police Dept,Open,45674,
GR00180,Market,Drain blockage in Saraswati Park (Ward W06).,W06,Municipal Corp,Closed,45819,45852
GR00181,Market,Encroachment in Malviya Nagar (Ward W15).,W15,Municipal Corp,Closed,45978,46019
GR00182,Police,Harassment complaint in Seemapuri (Ward W23).,W23,Police Dept,Closed,45793,45802
GR00183,Sanitation,Drain cleaning needed in Indira Chowk (Ward W11).,W11,Municipal Corp,Pending,46016,
GR00184,Sanitation,Open burning of waste in Ashok Nagar (Ward W09).,W09,Solid Waste,Pending,45763,
GR00185,Water,No water supply in Green Park (Ward W19).,W19,Municipal Corp,Open,45970,
GR00186,Road,Broken pavement in Malviya Nagar (Ward W15).,W15,PWD,Pending,45738,
GR00187,Electricity,Loose wire hazard in Model Town (Ward W20).,W20,Electricity Dept,Closed,45962,45973
GR00188,Hospital,Long waiting time in Mayur Vihar (Ward W25).,W25,Health Dept,Pending,45837,
GR00189,Police,Need patrolling in Anand Vihar (Ward W24).,W24,Police Dept,Closed,45718,45756
GR00190,Hospital,Ambulance not available in Saraswati Park (Ward W06).,W06,Health Dept,Pending,45771,
GR00191,Water,Low pressure in Gandhi Colony (Ward W02).,W02,Water Department,Pending,45774,
GR00192,Electricity,Frequent power cuts in Green Park (Ward W19).,W19,Electricity Dept,Pending,45991,
GR00193,Market,Vendor zone confusion in Indira Chowk (Ward W11).,W11,PWD,Pending,45958,
GR00194,Electricity,Frequent power cuts in Rajendra Nagar (Ward W10).,W10,Electricity Dept,Closed,45941,45956
GR00195,Electricity,Frequent power cuts in Green Park (Ward W19).,W19,Electricity Dept,Pending,45840,
GR00196,School,Teacher shortage in Indira Chowk (Ward W11).,W11,Education Dept,Pending,45888,
GR00197,Sanitation,Drain cleaning needed in Saraswati Park (Ward W06).,W06,Solid Waste,Pending,45919,
GR00198,School,Teacher shortage in Lajpat Enclave (Ward W04).,W04,Education Dept,Pending,45794,
GR00199,Sanitation,Garbage not collected in Rajendra Nagar (Ward W10).,W10,Municipal Corp,Pending,45861,
GR00200,Police,Traffic issue in Seemapuri (Ward W23).,W23,Police Dept,Pending,45966,
